,movie,year,time_minute,imdb_rating,metascore,vote,gross_earning
102,The Grand Budapest Hotel,2014,99,8.1,88.0,861265,59.1
103,The Sixth Sense,1999,107,8.2,64.0,1027173,293.51
104,Watchmen,2009,162,7.6,56.0,570893,107.51
105,Harry Potter and the Prisoner of Azkaban,2004,142,7.9,82.0,669426,249.36
106,Ferris Bueller's Day Off,1986,103,7.8,61.0,377408,70.14
107,Apocalypto,2006,139,7.8,68.0,324485,50.87
108,La La Land,2016,128,8.0,94.0,637653,151.1
109,Black Hawk Down,2001,144,7.7,74.0,414231,108.64
110,What's Eating Gilbert Grape,1993,118,7.7,73.0,248365,9.17
111,Apocalypse Now,1979,147,8.4,94.0,693922,83.47
112,Drive,2011,100,7.8,79.0,684077,35.06
113,The Big Lebowski,1998,117,8.1,71.0,840549,17.5
114,Arrival,2016,116,7.9,81.0,740296,100.55
115,Aftersun,2022,102,7.7,95.0,76477,
116,The Irishman,2019,209,7.8,94.0,414892,7.0
117,What We Do in the Shadows,2014,86,7.6,76.0,194474,3.33
118,The Lion King,1994,88,8.5,88.0,1109609,422.78
119,Kingsman: The Secret Service,2014,129,7.7,60.0,698891,128.26
120,Spider-Man: Into the Spider-Verse,2018,117,8.4,87.0,634011,190.24
121,Superbad,2007,113,7.6,76.0,614506,121.46
122,Mulholland Drive,2001,147,7.9,86.0,373994,7.22
123,Kill Bill: Vol. 1,2003,111,8.2,69.0,1162173,70.1
124,Edward Scissorhands,1990,105,7.9,74.0,511345,56.36
125,Little Women,2019,135,7.8,91.0,230057,108.1
126,One Flew Over the Cuckoo's Nest,1975,133,8.7,84.0,1046539,112.0
127,Memento,2000,113,8.4,83.0,1291038,25.54
128,Hacksaw Ridge,2016,139,8.1,71.0,570335,67.21
129,Wind River,2017,107,7.7,73.0,269617,33.8
130,Guardians of the Galaxy,2014,121,8.0,76.0,1246762,333.18
131,A Beautiful Mind,2001,135,8.2,72.0,965363,170.74
132,Batman Begins,2005,140,8.2,70.0,1539062,206.85
133,Die Hard,1988,132,8.2,72.0,914747,83.01
134,There Will Be Blood,2007,158,8.2,93.0,621433,40.22
135,The Notebook,2004,123,7.8,53.0,600553,81.0
136,Terminator 2: Judgment Day,1991,137,8.6,75.0,1145166,204.84
137,The Terminator,1984,107,8.1,84.0,902563,38.4
138,A Clockwork Orange,1971,136,8.3,77.0,862204,6.21
139,Sin City,2005,124,8.0,74.0,785457,74.1
140,Fantastic Mr. Fox,2009,87,7.9,83.0,258236,21.0
141,Eternal Sunshine of the Spotless Mind,2004,108,8.3,89.0,1049352,34.4
142,The Fifth Element,1997,126,7.6,52.0,493520,63.54
143,2001: A Space Odyssey,1968,149,8.3,84.0,700696,56.95
144,E.T. the Extra-Terrestrial,1982,115,7.9,92.0,427600,435.11
145,Tombstone,1993,130,7.8,50.0,160251,56.51
146,Spirited Away,2001,125,8.6,96.0,813566,10.06
147,The Godfather Part II,1974,202,9.0,90.0,1329149,57.3
148,Zodiac,2007,157,7.7,79.0,577579,33.08
149,The Help,2011,146,8.1,62.0,480948,169.71
150,The Hangover,2009,100,7.7,73.0,823618,277.32
151,Coco,2017,105,8.4,81.0,558513,209.73
152,American History X,1998,119,8.5,62.0,1161512,6.72
153,Star Wars: Episode III - Revenge of the Sith,2005,140,7.6,68.0,826275,380.26
154,Boogie Nights,1997,155,7.9,86.0,276574,26.4
155,The Hunt,2012,115,8.3,77.0,351440,0.69
156,RoboCop,1987,102,7.6,70.0,273120,53.42
157,Mr. Nobody,2009,141,7.7,63.0,242033,0.0
158,Raiders of the Lost Ark,1981,115,8.4,86.0,1015634,248.16
159,Cape Fear,1962,106,7.7,76.0,30925,
160,Shaun of the Dead,2004,99,7.9,76.0,580707,13.54
161,The Hobbit: An Unexpected Journey,2012,169,7.8,58.0,854862,303.0
162,The Pianist,2002,150,8.5,85.0,881660,32.57
163,Puss in Boots: The Last Wish,2022,102,7.8,73.0,157157,168.46
164,The Intouchables,2011,112,8.5,57.0,901409,13.18
165,City of God,2002,130,8.6,79.0,783686,7.56
166,The Truman Show,1998,103,8.2,90.0,1151176,125.62
167,Casino Royale,2006,144,8.0,80.0,680551,167.45
168,Home Alone,1990,103,7.7,63.0,614228,285.76
169,Snatch,2000,102,8.2,55.0,888725,30.33
170,Braveheart,1995,178,8.3,68.0,1070799,75.6
171,Into the Wild,2007,148,8.1,73.0,644657,18.35
172,Ratatouille,2007,111,8.1,96.0,791613,206.45
173,Dead Poets Society,1989,128,8.1,79.0,524380,95.86
174,Fargo,1996,98,8.1,86.0,704911,24.61
175,The Breakfast Club,1985,97,7.8,66.0,424642,45.88
176,All Quiet on the Western Front,2022,148,7.8,76.0,224484,
177,Her,2013,126,8.0,91.0,649494,25.57
178,The Deer Hunter,1978,183,8.1,86.0,353456,48.98
179,Deadpool,2016,108,8.0,65.0,1091361,363.07
180,The Hateful Eight,2015,168,7.8,68.0,638866,54.12
181,Avatar,2009,162,7.9,83.0,1362763,760.51
182,Bohemian Rhapsody,2018,134,7.9,49.0,570708,216.43
183,Iron Man,2008,126,7.9,79.0,1100302,318.41
184,Office Space,1999,89,7.6,68.0,280830,10.82
185,The Wizard of Oz,1939,102,8.1,92.0,417812,2.08
186,"The Good, the Bad and the Ugly",1966,178,8.8,90.0,791777,6.1
187,Almost Famous,2000,122,7.9,90.0,287780,32.53
188,Star Wars: Episode VII - The Force Awakens,2015,138,7.8,80.0,958526,936.66
189,Avengers: Infinity War,2018,149,8.4,68.0,1160151,678.82
190,Reservoir Dogs,1992,99,8.3,81.0,1062365,2.83
