,movie,year,time_minute,imdb_rating,metascore,vote,gross_earning
452,Hunt for the Wilderpeople,2016,101,7.8,81.0,137746,5.2
453,Lethal Weapon,1987,109,7.6,68.0,270379,65.21
454,Gone Baby Gone,2007,114,7.6,72.0,283751,20.3
455,Million Dollar Baby,2004,132,8.1,86.0,708861,100.49
456,The Fault in Our Stars,2014,126,7.7,69.0,393333,124.87
457,Do the Right Thing,1989,120,8.0,93.0,109258,27.55
458,Match Point,2005,124,7.6,72.0,224807,23.09
459,The Last Picture Show,1971,118,8.0,93.0,51145,29.13
460,Walk the Line,2005,136,7.8,72.0,260881,119.52
461,The Blind Side,2009,129,7.6,53.0,352583,255.96
462,Wreck-It Ralph,2012,101,7.7,72.0,446304,189.42
463,The Road Warrior,1981,96,7.6,77.0,189152,12.47
464,The Bride of Frankenstein,1935,75,7.8,95.0,51517,4.36
465,The Girl with the Dragon Tattoo,2009,152,7.8,76.0,221027,10.1
466,Sing Street,2016,106,7.9,79.0,98828,3.24
467,Goldfinger,1964,110,7.7,87.0,198343,51.08
468,Planet of the Apes,1968,112,8.0,79.0,188102,33.4
469,Naked,1993,131,7.7,85.0,42478,1.77
470,Singin' in the Rain,1952,103,8.3,99.0,253986,8.82
471,Sunset Blvd.,1950,110,8.4,94.0,231084,
472,Fried Green Tomatoes,1991,130,7.7,64.0,79746,82.42
473,Spartacus,1960,197,7.9,87.0,140415,30.0
474,M,1931,99,8.3,,164728,0.03
475,Changeling,2008,141,7.8,63.0,262276,35.74
476,This Is England,2006,101,7.7,86.0,126648,0.33
477,Straight Outta Compton,2015,147,7.8,72.0,213071,161.2
478,Lion,2016,118,8.0,69.0,245938,51.74
479,Stalker,1979,162,8.1,85.0,140857,0.23
480,North by Northwest,1959,136,8.3,98.0,339438,13.28
481,Die Hard with a Vengeance,1995,128,7.6,58.0,400365,100.01
482,Mississippi Burning,1988,128,7.8,65.0,106623,34.6
483,Captain Phillips,2013,134,7.8,82.0,482129,107.1
484,The Bourne Supremacy,2004,108,7.7,73.0,479153,176.24
485,JFK,1991,189,8.0,72.0,165679,70.41
486,This Is Spinal Tap,1984,82,7.9,92.0,144435,4.74
487,The Best Offer,2013,131,7.8,49.0,125576,0.09
488,Kiki's Delivery Service,1989,103,7.8,85.0,156878,
489,Ed Wood,1994,127,7.8,70.0,181557,5.89
490,Bound by Honor,1993,180,7.9,47.0,33225,4.5
491,Brazil,1985,132,7.9,84.0,207713,9.93
492,Philadelphia,1993,125,7.7,66.0,252799,77.32
493,Cabaret,1972,124,7.8,80.0,58011,42.77
494,Life of Brian,1979,94,8.0,77.0,415470,20.05
495,The Raid: Redemption,2011,101,7.6,73.0,213201,4.11
496,The Elephant Man,1980,124,8.2,78.0,252582,
497,The Jungle Book,1967,78,7.6,65.0,193805,141.84
498,Dog Day Afternoon,1975,125,8.0,86.0,268275,50.0
499,Carlito's Way,1993,144,7.9,66.0,227896,36.95
500,Jai Bhim,2021,164,8.8,,211113,
501,Detachment,2011,98,7.7,52.0,94783,0.07
502,Thirteen Lives,2022,147,7.8,66.0,64101,
503,Paddington 2,2017,103,7.8,88.0,87896,40.44
504,Road to Perdition,2002,117,7.7,72.0,279357,104.45
505,Hachi: A Dog's Tale,2009,93,8.1,,301861,
506,Boyhood,2014,165,7.9,100.0,363212,25.38
507,Before Sunset,2004,80,8.1,91.0,280176,5.82
508,3:10 to Yuma,2007,122,7.7,76.0,325349,53.61
509,Freaks,1932,64,7.8,80.0,49144,0.63
510,Sling Blade,1996,135,8.0,84.0,97199,24.48
511,October Sky,1999,108,7.8,71.0,96058,32.48
512,Butch Cassidy and the Sundance Kid,1969,110,8.0,66.0,223292,102.31
513,Dark Waters,2019,126,7.6,73.0,96334,
514,Happiness,1998,134,7.7,81.0,73138,2.81
515,Wild Tales,2014,122,8.1,77.0,210194,3.11
516,Ghost in the Shell,1995,83,7.9,76.0,151875,0.52
517,A Christmas Story,1983,93,7.9,77.0,161933,20.61
518,Annie Hall,1977,93,8.0,92.0,273339,39.2
519,Harakiri,1962,133,8.6,85.0,64334,
520,Adaptation.,2002,115,7.7,83.0,199398,22.25
521,Rushmore,1998,93,7.6,86.0,194499,17.11
522,Red River,1948,133,7.8,96.0,33290,
523,Being John Malkovich,1999,113,7.7,90.0,347874,22.86
524,The Seventh Seal,1957,96,8.1,88.0,193696,
525,The Theory of Everything,2014,123,7.7,71.0,471656,35.89
526,The Sting,1973,129,8.3,83.0,273498,159.6
527,Billy Elliot,2000,110,7.7,74.0,140077,22.0
528,Network,1976,121,8.1,83.0,166222,
529,What Ever Happened to Baby Jane?,1962,134,8.0,75.0,60077,4.05
530,Ran,1985,160,8.2,97.0,132393,4.14
531,A Man Called Ove,2015,116,7.7,70.0,66038,3.48
532,Malcolm X,1992,202,7.7,73.0,99749,48.17
533,The Trial of the Chicago 7,2020,129,7.7,76.0,188221,
534,The Wrestler,2008,109,7.9,80.0,315810,26.24
535,Judgment at Nuremberg,1961,179,8.3,60.0,82235,
536,The Mitchells vs the Machines,2021,114,7.6,81.0,121269,
537,The Invisible Man,1933,71,7.6,87.0,38566,
538,Awakenings,1990,121,7.8,74.0,153363,52.1
539,Star Trek Into Darkness,2013,132,7.7,72.0,492921,228.78
540,The Iron Giant,1999,86,8.1,85.0,217220,23.16
541,Ponyo,2008,101,7.6,86.0,155501,15.09
542,Flipped,2010,90,7.7,45.0,95029,1.75
543,Dangal,2016,161,8.3,,202586,12.39
544,Glory,1989,122,7.8,78.0,141253,26.83
545,Kung Fu Hustle,2004,99,7.7,78.0,147425,17.11
546,Dirty Harry,1971,102,7.7,87.0,164868,35.9
547,Amores Perros,2000,154,8.1,83.0,248930,5.38
548,How to Train Your Dragon 2,2014,102,7.8,77.0,354439,177.0
549,Glengarry Glen Ross,1992,100,7.7,82.0,112930,10.73
550,Fiddler on the Roof,1971,181,8.0,67.0,46259,80.5
551,The Apartment,1960,125,8.3,94.0,190834,18.6
552,King Kong,1933,100,7.9,92.0,89108,10.0
553,Paths of Glory,1957,88,8.4,90.0,206868,
554,Paprika,2006,90,7.7,81.0,91635,0.88
555,My Fair Lady,1964,170,7.8,95.0,99563,72.0
556,A Separation,2011,123,8.3,95.0,253473,7.1
557,Papillon,1973,151,8.0,58.0,135996,53.27
558,The Vanishing,1988,107,7.7,,41941,
559,Persona,1966,83,8.1,86.0,127181,
560,"Crouching Tiger, Hidden Dragon",2000,120,7.9,94.0,277985,128.08
561,Star Trek II: The Wrath of Khan,1982,113,7.7,68.0,127097,78.91
562,The Conversation,1974,113,7.8,87.0,117884,4.42
563,The Insider,1999,157,7.8,84.0,177207,28.97
564,Stagecoach,1939,96,7.8,93.0,52311,
565,Once,2007,86,7.8,90.0,119880,9.44
566,21 Grams,2003,124,7.6,70.0,243099,16.29
567,The Verdict,1982,129,7.7,77.0,44405,54.0
568,Rebecca,1940,130,8.1,86.0,143377,4.36
569,In the Name of the Father,1993,133,8.1,84.0,183046,25.01
570,Lucky Number Slevin,2006,110,7.7,53.0,321686,22.49
571,The Day of the Jackal,1973,143,7.8,80.0,43654,16.06
572,Bonnie and Clyde,1967,111,7.7,86.0,118111,
573,The Day the Earth Stood Still,1951,92,7.8,83.0,84595,
574,The Last King of Scotland,2006,123,7.6,74.0,193118,17.61
575,Clerks,1994,92,7.7,70.0,229336,3.15
576,A Fistful of Dollars,1964,99,7.9,65.0,227136,14.5
577,For a Few Dollars More,1965,132,8.2,74.0,267872,15.0
578,Farewell My Concubine,1992,171,8.1,84.0,31836,5.22
579,8½,1963,138,8.0,93.0,122886,0.05
580,Badlands,1973,94,7.7,93.0,76622,
581,A Man for All Seasons,1966,120,7.7,72.0,36413,28.35
582,Cool Hand Luke,1967,127,8.1,92.0,185029,16.22
583,Shadow of a Doubt,1943,108,7.8,94.0,68927,
584,Black Book,2006,145,7.7,71.0,79303,4.4
585,Dancer in the Dark,2000,140,7.9,63.0,114510,4.18
586,Klaus,2019,96,8.2,65.0,172546,
587,A Silent Voice: The Movie,2016,130,8.1,78.0,94423,
588,The Cabinet of Dr. Caligari,1920,67,8.0,,68069,
589,Belle de Jour,1967,100,7.7,,47548,0.03
590,Witness for the Prosecution,1957,116,8.4,76.0,133005,8.18
591,Lilya 4-Ever,2002,109,7.8,83.0,48117,0.18
592,The Wild Bunch,1969,135,7.9,98.0,88732,12.06
593,Before Midnight,2013,109,7.9,94.0,168028,8.11
594,Invasion of the Body Snatchers,1956,80,7.7,92.0,53251,
595,A Streetcar Named Desire,1951,122,7.9,97.0,112483,8.0
596,Hero,2002,120,7.9,85.0,185759,53.71
597,Roma,2018,135,7.7,96.0,166184,
598,The Dirty Dozen,1967,150,7.7,73.0,77406,45.3
599,The Wind Rises,2013,126,7.7,83.0,93487,5.21
600,The Great Beauty,2013,141,7.7,86.0,95571,2.85
601,Wings of Desire,1987,128,7.9,79.0,74738,3.33
602,Hotel Rwanda,2004,121,8.1,79.0,366378,23.53
603,Ray,2004,152,7.7,73.0,154556,75.33
604,Serpico,1973,130,7.7,83.0,131075,29.8
605,Doctor Zhivago,1965,197,7.9,69.0,80447,111.72
606,Tumbbad,2018,104,8.2,,55681,
607,Nausicaä of the Valley of the Wind,1984,117,8.0,86.0,177191,0.5
608,Searching,2018,102,7.6,71.0,176194,26.02
609,I Am Sam,2001,132,7.6,28.0,153587,40.31
610,United 93,2006,111,7.6,90.0,109700,31.57
611,The Searchers,1956,119,7.8,94.0,94173,
612,Pink Floyd: The Wall,1982,95,8.0,47.0,83971,22.24
613,In the Heat of the Night,1967,110,7.9,76.0,81306,24.38
614,Mother,2009,129,7.7,79.0,69369,0.55
615,Days of Heaven,1978,94,7.8,93.0,61147,
616,Castle in the Sky,1986,125,8.0,78.0,175682,
617,Ip Man,2008,106,8.0,59.0,230782,
618,The Last Emperor,1987,163,7.7,76.0,108864,43.98
619,On the Waterfront,1954,108,8.1,91.0,161097,9.6
620,Shoplifters,2018,121,7.9,93.0,82937,3.31
621,Mommy,2014,139,8.0,74.0,60368,3.49
622,Hamlet,1996,242,7.7,,39368,4.41
623,Rio Bravo,1959,141,8.0,93.0,66475,12.54
624,All That Jazz,1979,123,7.8,72.0,34155,37.82
625,La Dolce Vita,1960,174,8.0,95.0,76602,19.52
626,Ikiru,1952,143,8.3,92.0,84368,0.06
627,Gandhi,1982,191,8.0,79.0,237764,52.77
628,The Right Stuff,1983,193,7.8,91.0,64174,21.5
629,Charade,1963,113,7.9,83.0,82880,13.47
630,Dial M for Murder,1954,105,8.2,75.0,184250,0.01
631,The Man Who Shot Liberty Valance,1962,123,8.1,94.0,80348,
632,Notorious,1946,102,7.9,100.0,105138,10.46
633,Short Term 12,2013,96,7.9,82.0,90534,1.01
634,Roman Holiday,1953,118,8.0,78.0,144628,
635,All the President's Men,1976,138,7.9,84.0,122753,70.6
636,Neon Genesis Evangelion: The End of Evangelion,1997,87,8.1,,60914,
637,Solaris,1972,167,8.0,93.0,96014,
638,The Third Man,1949,93,8.1,97.0,178132,0.45
639,Run Lola Run,1998,80,7.7,77.0,204109,7.27
640,The Outlaw Josey Wales,1976,135,7.8,69.0,77986,31.8
641,Rebel Without a Cause,1955,111,7.6,89.0,95915,
642,The Artist,2011,100,7.9,89.0,246414,44.67
643,The Bridges of Madison County,1995,135,7.6,69.0,86585,71.52
644,Double Indemnity,1944,107,8.3,95.0,163724,5.72
645,Ordinary People,1980,124,7.7,86.0,55249,54.8
646,Demon Slayer: Kimetsu no Yaiba - The Movie: Mugen Train,2020,117,8.2,72.0,68396,47.7
647,Kramer vs. Kramer,1979,105,7.8,77.0,151584,106.26
648,Being There,1979,130,7.9,83.0,76004,30.18
649,Drishyam 2,2022,140,8.2,,40793,
650,All About Eve,1950,138,8.2,98.0,136092,0.01
651,Like Stars on Earth,2007,165,8.3,,202081,1.22
652,The Bridge on the River Kwai,1957,161,8.1,87.0,229037,44.91
653,Miller's Crossing,1990,115,7.7,66.0,139714,5.08
654,Rashomon,1950,88,8.2,98.0,176075,0.1
655,The Raid 2,2014,150,7.9,71.0,129065,2.63
656,Breaking the Waves,1996,159,7.8,82.0,70187,4.04
657,The Innocents,1961,100,7.8,88.0,32265,2.62
658,Hannah and Her Sisters,1986,107,7.8,90.0,74665,40.08
659,Kubo and the Two Strings,2016,101,7.7,84.0,136009,48.02
660,Me and Earl and the Dying Girl,2015,105,7.7,74.0,136287,6.74
661,The Quiet Man,1952,129,7.7,85.0,41157,10.55
662,Three Colors: Blue,1993,94,7.9,87.0,107980,1.32
663,Fantasia,1940,124,7.7,96.0,101489,76.41
664,Anatomy of a Murder,1959,161,8.0,95.0,69536,11.9
665,PK,2014,153,8.1,,196331,10.62
666,Finding Neverland,2004,106,7.7,67.0,210284,51.68
667,"South Park: Bigger, Longer & Uncut",1999,81,7.7,73.0,211819,52.04
668,From Here to Eternity,1953,118,7.6,85.0,49764,30.5
669,Evil,2003,113,7.7,61.0,40775,0.02
670,Mirror,1975,107,8.0,82.0,50460,0.18
671,Drishyam,2015,163,8.2,,91177,0.74
672,The Great Dictator,1940,125,8.4,,232613,0.29
673,Fitzcarraldo,1982,158,8.0,,37365,
674,Strangers on a Train,1951,101,7.9,88.0,138682,7.63
675,The Manchurian Candidate,1962,126,7.9,94.0,78301,
676,Harold and Maude,1971,91,7.9,62.0,80495,
677,Open Your Eyes,1997,119,7.7,,72092,0.37
678,Infernal Affairs,2002,101,8.0,75.0,129168,0.17
679,The Maltese Falcon,1941,100,8.0,97.0,164057,2.11
680,It Happened One Night,1934,105,8.1,87.0,109317,4.36
681,Paper Moon,1973,102,8.1,77.0,50923,30.93
682,The Grapes of Wrath,1940,129,8.1,96.0,97893,0.06
683,The Man from Nowhere,2010,119,7.7,,73091,0.01
684,Kaithi,2019,145,8.4,,38126,
685,Wait Until Dark,1967,108,7.7,81.0,32756,17.55
686,Letters from Iwo Jima,2006,141,7.8,89.0,167905,13.76
687,The Chaser,2008,125,7.8,64.0,70687,
688,Togo,2019,113,7.9,69.0,53350,
689,My Left Foot,1989,103,7.8,97.0,78079,14.74
690,Short Cuts,1993,188,7.7,81.0,46677,6.11
691,Modern Times,1936,87,8.5,96.0,253318,0.16
692,The Longest Day,1962,178,7.7,75.0,58123,39.1
693,The Hustler,1961,134,8.0,90.0,85316,8.28
694,Rope,1948,80,7.9,73.0,150107,
695,Barton Fink,1991,116,7.6,69.0,126828,6.15
696,Patton,1970,172,7.9,86.0,106265,61.7
697,The Lion in Winter,1968,134,7.9,,33243,22.28
698,The Killing Fields,1984,141,7.8,76.0,58009,34.7
699,High and Low,1963,143,8.4,90.0,50117,
700,Bicycle Thieves,1948,89,8.3,,170876,0.33
701,Whisper of the Heart,1995,111,7.8,75.0,68870,
702,The Straight Story,1999,112,8.0,86.0,94940,6.2
703,The Battle of Algiers,1966,121,8.1,96.0,63856,0.06
704,The Best Years of Our Lives,1946,170,8.1,93.0,68561,23.65
705,Manhattan,1979,96,7.8,83.0,144567,45.7
706,Three Colors: Red,1994,99,8.1,100.0,107853,4.04
707,25th Hour,2002,135,7.6,69.0,182972,13.06
708,The Celebration,1998,105,8.1,82.0,91622,1.65
709,Loving Vincent,2017,94,7.8,62.0,61706,6.74
710,Wolfwalkers,2020,103,8.0,87.0,36747,
711,Mary and Max,2009,92,8.1,,183480,
712,The Legend of 1900,1998,169,8.0,58.0,67784,0.26
713,Gangs of Wasseypur,2012,321,8.2,89.0,101118,
714,All About My Mother,1999,101,7.8,87.0,101060,8.26
715,96,2018,158,8.5,,34513,
716,The 400 Blows,1959,99,8.1,,124761,
717,The Big Sleep,1946,114,7.9,86.0,88950,6.54
718,Once Were Warriors,1994,102,7.9,77.0,36111,2.2
719,The Message,1976,177,8.1,,49766,
720,"Aguirre, the Wrath of God",1972,95,7.8,,60294,
721,East of Eden,1955,118,7.8,72.0,47877,
722,Philomena,2013,98,7.6,77.0,102761,37.71
723,Marty,1955,90,7.7,82.0,26143,
724,Pride,2014,119,7.8,79.0,60492,
725,Waking Life,2001,99,7.7,84.0,66150,2.89
726,All Quiet on the Western Front,1930,152,8.1,91.0,66346,3.27
727,Porco Rosso,1992,94,7.7,83.0,97100,
728,The Leopard,1963,186,8.0,100.0,28014,
729,The Asphalt Jungle,1950,112,7.8,85.0,29041,
730,Fantastic Planet,1973,72,7.7,73.0,35339,0.19
731,Diabolique,1955,117,8.1,,68219,1.09
732,Hedwig and the Angry Inch,2001,95,7.7,85.0,36900,3.03
733,The White Ribbon,2009,144,7.8,84.0,76383,2.22
734,Wild Strawberries,1957,91,8.1,88.0,112240,
735,The Red Shoes,1948,135,8.1,,37738,10.9
736,Who's Afraid of Virginia Woolf?,1966,131,8.0,75.0,78553,
737,The Killing,1956,84,7.9,91.0,94973,
738,The Taking of Pelham One Two Three,1974,104,7.6,68.0,33793,2.49
739,Andhadhun,2018,139,8.2,,99316,1.37
740,Beasts of No Nation,2015,137,7.7,79.0,85220,0.08
741,Shine,1996,105,7.6,87.0,55882,35.81
742,Perfect Strangers,2016,96,7.7,,69456,
743,Amour,2012,127,7.9,95.0,104073,6.74
744,Control,2007,122,7.6,78.0,67662,0.87
745,Yojimbo,1961,110,8.2,93.0,128288,
746,My Name Is Khan,2010,165,7.9,50.0,112921,4.02
747,A Woman Under the Influence,1974,155,8.1,88.0,27654,13.34
748,Winter Sleep,2014,196,8.1,88.0,54141,0.17
749,The Philadelphia Story,1940,112,7.9,96.0,72373,
750,Out of the Past,1947,97,8.0,85.0,39770,
751,Secrets & Lies,1996,136,8.0,92.0,46053,13.42
752,Kind Hearts and Coronets,1949,106,8.0,,38996,
753,Fanny and Alexander,1982,188,8.1,100.0,66179,4.97
754,Breathless,1960,90,7.7,,86057,0.34
755,The Shop Around the Corner,1940,99,8.0,96.0,36257,0.2
756,Scarface,1932,93,7.7,90.0,29537,
757,Talk to Her,2002,112,7.9,86.0,116054,9.36
758,The Thin Man,1934,91,7.9,86.0,31774,
759,Zulu,1964,138,7.7,77.0,41582,
760,Tokyo Story,1953,136,8.1,100.0,66058,
761,Children of Heaven,1997,89,8.2,77.0,78508,0.93
762,Elite Squad,2007,115,8.0,33.0,108085,0.01
763,The African Queen,1951,105,7.7,91.0,82527,0.54
764,Head-On,2004,121,7.9,78.0,56589,
765,Ninja Scroll,1993,94,7.8,,39580,
766,Night on Earth,1991,129,7.7,68.0,64250,2.02
767,Miracle in Cell No. 7,2019,132,8.2,,53346,
768,Land of Mine,2015,100,7.8,75.0,44336,0.44
769,The Motorcycle Diaries,2004,126,7.7,75.0,103792,16.78
770,Good Bye Lenin!,2003,121,7.7,68.0,150655,4.06
771,Hard Boiled,1992,128,7.7,,52930,
772,To Have and Have Not,1944,100,7.8,90.0,37254,
773,Laura,1944,88,7.9,,49861,4.36
774,When Marnie Was There,2014,103,7.7,72.0,45258,0.77
775,Nebraska,2013,115,7.7,86.0,121202,17.65
776,A Taxi Driver,2017,137,7.9,69.0,28909,1.53
777,Swades,2004,189,8.2,,95573,1.22
778,Guess Who's Coming to Dinner,1967,108,7.8,63.0,47815,56.7
779,The Sacrifice,1986,149,7.9,,30212,0.3
780,Underground,1995,167,8.1,79.0,60215,0.17
781,My Sassy Girl,2001,137,8.0,,49800,
782,The Man Who Would Be King,1975,129,7.8,91.0,51112,
783,The Treasure of the Sierra Madre,1948,126,8.2,98.0,130014,5.01
784,The Adventures of Robin Hood,1938,102,7.9,97.0,53488,3.98
785,"I, Daniel Blake",2016,100,7.8,78.0,63207,0.26
786,City Lights,1931,87,8.5,99.0,191914,0.02
787,The Broken Circle Breakdown,2012,111,7.7,70.0,42623,0.18
788,The Wages of Fear,1953,131,8.2,85.0,64649,
789,The Little Prince,2015,108,7.7,70.0,65231,1.34
790,Song of the Sea,2014,93,8.0,85.0,61724,0.86
791,The Tale of The Princess Kaguya,2013,137,8.0,89.0,51360,1.51
792,Raatchasan,2018,170,8.3,,48472,
793,Black Narcissus,1947,101,7.7,86.0,26732,
794,In a Lonely Place,1950,94,7.9,,34021,
795,The Lady Vanishes,1938,96,7.7,98.0,55763,
796,The Passion of Joan of Arc,1928,114,8.1,98.0,58775,0.02
797,The World's Fastest Indian,2005,127,7.8,68.0,57212,5.13
798,Once Upon a Time in Anatolia,2011,157,7.8,82.0,48814,0.14
799,The Double Life of Véronique,1991,98,7.7,86.0,51701,2.0
800,The Wild Pear Tree,2018,188,8.0,86.0,26500,0.03
801,A Prophet,2009,155,7.8,90.0,101030,2.08
802,The Sea Inside,2004,126,8.0,74.0,84181,2.09
803,Brief Encounter,1945,86,8.0,92.0,42866,
804,In Cold Blood,1967,134,7.9,89.0,28187,
805,Sleuth,1972,138,8.0,,49383,4.08
806,A Very Long Engagement,2004,133,7.6,76.0,75267,6.17
807,Batman: Mask of the Phantasm,1993,76,7.8,65.0,54982,5.62
808,To Be or Not to Be,1942,99,8.2,86.0,41111,
809,The Conformist,1970,113,7.9,100.0,32780,0.54
810,K.G.F: Chapter 2,2022,168,8.3,,143394,6.6
811,Mr. Smith Goes to Washington,1939,129,8.1,73.0,119280,9.6
812,Taste of Cherry,1997,95,7.7,80.0,34666,0.31
813,Ayla: The Daughter of War,2017,125,8.3,,42533,
814,Le Samouraï,1967,101,8.0,,54927,0.04
815,The Magdalene Sisters,2002,114,7.7,83.0,28098,4.89
816,The Diving Bell and the Butterfly,2007,112,8.0,92.0,109550,5.99
817,Persepolis,2007,96,8.0,90.0,98318,4.45
818,Cowboy Bebop: The Movie,2001,115,7.8,61.0,51570,1.0
819,Stalag 17,1953,120,8.0,84.0,57652,
820,The Kid,1921,68,8.2,,131835,5.45
821,Cat on a Hot Tin Roof,1958,108,7.9,84.0,52350,17.57
822,Nobody Knows,2004,141,8.0,88.0,30164,0.68
823,You Can't Take It with You,1938,126,7.8,,27158,4.66
824,Autumn Sonata,1978,99,8.1,,36727,
825,The Umbrellas of Cherbourg,1964,91,7.8,86.0,30155,0.03
826,"Quo Vadis, Aida?",2020,101,8.0,97.0,36913,
827,Happy Together,1997,96,7.7,70.0,32706,0.19
828,Yi Yi,2000,173,8.1,94.0,27191,1.14
829,The Chorus,2004,97,7.8,56.0,65632,3.64
830,Pather Panchali,1955,125,8.2,,36489,0.54
831,Baahubali: The Beginning,2015,159,8.0,,132478,6.74
832,Z,1969,127,8.2,86.0,30614,0.08
833,The Lunchbox,2013,104,7.8,76.0,59444,4.23
834,Cries & Whispers,1972,91,8.0,,36113,1.74
835,The Killer,1989,111,7.8,82.0,50183,
836,Wolf Children,2012,117,8.1,71.0,47905,
837,Mildred Pierce,1945,111,7.9,88.0,27859,
838,Sita Ramam,2022,163,8.6,,63475,
839,His Girl Friday,1940,92,7.8,,61763,0.3
840,Lagaan: Once Upon a Time in India,2001,224,8.1,84.0,118423,0.91
841,Andrei Rublev,1966,205,8.1,,55950,0.1
842,Amarcord,1973,123,7.9,,45801,0.58
843,777 Charlie,2022,164,8.8,,37091,
844,The Hidden Fortress,1958,126,8.1,89.0,41226,
845,The Experiment,2001,120,7.7,59.0,95446,0.14
846,Kal Ho Naa Ho,2003,186,7.9,54.0,73230,1.79
847,The Big Heat,1953,89,7.9,,28273,
848,Jules and Jim,1962,105,7.7,97.0,43587,
849,Adam's Apples,2005,94,7.7,51.0,53289,0.0
850,Inherit the Wind,1960,128,8.1,75.0,32022,
851,Frost/Nixon,2008,122,7.7,80.0,111166,18.59
852,Chhichhore,2019,143,8.3,,60208,2.0
853,Kagemusha,1980,162,7.9,84.0,37380,
854,Cléo from 5 to 7,1962,90,7.9,87.0,25734,
855,The Discreet Charm of the Bourgeoisie,1972,102,7.8,93.0,45531,0.2
856,Down by Law,1986,107,7.7,75.0,54237,1.44
857,The Exterminating Angel,1962,95,8.0,,34795,
858,Haider,2014,160,8.0,,56676,0.9
859,The Purple Rose of Cairo,1985,82,7.7,75.0,53860,10.63
860,Sweet Smell of Success,1957,96,8.0,100.0,34658,
861,Confessions,2010,106,7.7,,41149,
862,The Triplets of Belleville,2003,80,7.7,91.0,56280,7.0
863,Miracle on 34th Street,1947,96,7.9,88.0,51618,2.65
864,Sardar Udham,2021,164,8.4,,45385,
865,Dilwale Dulhania Le Jayenge,1995,181,8.0,,74720,
866,Elevator to the Gallows,1958,91,7.9,94.0,27791,0.11
867,"Like Father, Like Son",2013,121,7.8,73.0,27136,0.28
868,Central Station,1998,110,8.0,80.0,41445,5.6
869,3-Iron,2004,88,7.9,72.0,57279,0.24
870,Dreams,1990,119,7.7,,28204,1.96
871,My Father and My Son,2005,112,8.2,,90136,
872,My Man Godfrey,1936,94,7.9,82.0,25787,
873,The General,1926,78,8.1,,95866,1.03
874,"Black Cat, White Cat",1998,127,8.0,73.0,55599,0.35
875,A Night at the Opera,1935,96,7.8,,34178,2.54
876,Duck Soup,1933,69,7.8,93.0,61938,
877,The Virgin Spring,1960,89,8.0,,30927,1.53
878,Crimes and Misdemeanors,1989,104,7.8,77.0,59987,18.25
879,"Goodbye, Children",1987,104,8.0,88.0,35479,4.54
880,The Muppet Christmas Carol,1992,85,7.7,64.0,64971,27.28
881,Vikram Vedha,2017,147,8.2,,49059,
882,The Salesman,2016,124,7.7,85.0,63454,2.4
883,About Elly,2009,119,7.9,87.0,56050,0.11
884,Bringing Up Baby,1938,102,7.8,91.0,64734,
885,Beauty and the Beast,1946,93,7.9,92.0,27556,0.3
886,Ace in the Hole,1951,111,8.1,72.0,38249,3.97
887,"Spring, Summer, Fall, Winter... and Spring",2003,103,8.0,85.0,85609,2.38
888,Cell 211,2009,113,7.6,,69804,
889,Key Largo,1948,100,7.7,,43220,
890,Jab We Met,2007,138,7.9,,56782,0.41
891,K.G.F: Chapter 1,2018,154,8.2,,94341,
892,Nostalghia,1983,125,7.9,,29154,0.01
893,Sunrise,1927,94,8.1,95.0,52985,0.54
894,The Red Circle,1970,140,7.9,92.0,27264,0.37
895,Throne of Blood,1957,110,8.1,,54687,
896,Nights of Cabiria,1957,110,8.1,,51110,0.75
897,Nine Queens,2000,114,7.9,80.0,55673,1.22
898,La strada,1954,108,8.0,,65578,
899,The Return,2003,110,7.9,82.0,46785,0.5
900,"4 Months, 3 Weeks and 2 Days",2007,113,7.9,97.0,62505,1.19
901,The Lost Weekend,1945,101,7.9,,39265,9.46
902,Tokyo Godfathers,2003,92,7.8,74.0,44244,0.13
903,Zindagi Na Milegi Dobara,2011,155,8.2,,83383,3.11
904,Hiroshima Mon Amour,1959,90,7.8,,34823,0.09
905,Departures,2008,130,8.0,68.0,54108,1.5
906,Ivan's Childhood,1962,95,8.0,,38855,
907,Gully Boy,2019,154,7.9,65.0,42275,5.57
908,L'Avventura,1960,144,7.7,,31878,
909,Time of the Gypsies,1988,142,8.1,,32103,0.28
910,Dil Chahta Hai,2001,183,8.1,,74663,0.3
911,Kantara,2022,148,8.3,,98547,
912,No Man's Land,2001,98,7.9,84.0,48284,1.06
913,How Green Was My Valley,1941,118,7.7,88.0,25776,
914,Barfi!,2012,151,8.1,,85092,2.8
915,The Postman,1994,108,7.8,81.0,38303,21.85
916,Talvar,2015,132,8.1,,37099,0.34
917,Rang De Basanti,2006,167,8.1,,121331,2.2
918,After the Wedding,2006,120,7.7,78.0,36192,0.41
919,In America,2002,105,7.7,76.0,43942,15.54
920,Baahubali 2: The Conclusion,2017,167,8.2,,109799,20.19
921,Through a Glass Darkly,1961,90,7.9,84.0,26788,
922,Raise the Red Lantern,1991,125,8.1,,34511,2.6
923,Millennium Actress,2001,87,7.8,70.0,30673,0.19
924,Fireworks,1997,103,7.7,83.0,32330,0.23
925,Bajrangi Bhaijaan,2015,163,8.1,,94311,8.18
926,Uri: The Surgical Strike,2019,138,8.2,,69379,4.19
927,White Heat,1949,114,8.1,89.0,34896,
928,Love and Death,1975,85,7.7,89.0,40112,
929,My Life to Live,1962,85,7.8,,34158,
